('neg', 0.508):('neu', 0.492):('pos', 0.0):('compound', -0.7351)
('neg', 0.137):('neu', 0.742):('pos', 0.121):('compound', -0.09)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.69):('pos', 0.31):('compound', 0.4019)
('neg', 0.428):('neu', 0.572):('pos', 0.0):('compound', -0.8172)
('neg', 0.0):('neu', 0.263):('pos', 0.737):('compound', 0.4215)
('neg', 0.0):('neu', 0.646):('pos', 0.354):('compound', 0.9471)
('neg', 0.266):('neu', 0.591):('pos', 0.143):('compound', -0.3612)
('neg', 0.0):('neu', 0.741):('pos', 0.259):('compound', 0.6369)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.621):('pos', 0.379):('compound', 0.7269)
('neg', 0.307):('neu', 0.693):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.599):('pos', 0.401):('compound', 0.6542)
('neg', 0.383):('neu', 0.617):('pos', 0.0):('compound', -0.4767)
('neg', 0.323):('neu', 0.6):('pos', 0.078):('compound', -0.787)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.171):('neu', 0.664):('pos', 0.165):('compound', -0.1154)
('neg', 0.328):('neu', 0.121):('pos', 0.551):('compound', 0.4278)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.307):('neu', 0.693):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.599):('pos', 0.401):('compound', 0.6542)
('neg', 0.383):('neu', 0.617):('pos', 0.0):('compound', -0.4767)
('neg', 0.323):('neu', 0.6):('pos', 0.078):('compound', -0.787)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.171):('neu', 0.664):('pos', 0.165):('compound', -0.1154)
('neg', 0.328):('neu', 0.121):('pos', 0.551):('compound', 0.4278)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.244):('neu', 0.681):('pos', 0.075):('compound', -0.6908)
('neg', 0.052):('neu', 0.714):('pos', 0.234):('compound', 0.8151)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.259):('neu', 0.741):('pos', 0.0):('compound', -0.7906)
('neg', 0.213):('neu', 0.787):('pos', 0.0):('compound', -0.4019)
('neg', 0.565):('neu', 0.435):('pos', 0.0):('compound', -0.3818)
('neg', 0.301):('neu', 0.569):('pos', 0.13):('compound', -0.4951)
('neg', 0.136):('neu', 0.368):('pos', 0.495):('compound', 0.9284)
('neg', 0.284):('neu', 0.716):('pos', 0.0):('compound', -0.631)
('neg', 0.0):('neu', 0.606):('pos', 0.394):('compound', 0.705)
('neg', 0.355):('neu', 0.132):('pos', 0.513):('compound', 0.296)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.162):('neu', 0.838):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.347):('pos', 0.653):('compound', 0.9059)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.762):('pos', 0.238):('compound', 0.3612)
('neg', 0.278):('neu', 0.722):('pos', 0.0):('compound', -0.4019)
('neg', 0.355):('neu', 0.132):('pos', 0.513):('compound', 0.296)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.162):('neu', 0.838):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.347):('pos', 0.653):('compound', 0.9059)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.762):('pos', 0.238):('compound', 0.3612)
('neg', 0.278):('neu', 0.722):('pos', 0.0):('compound', -0.4019)
('neg', 0.375):('neu', 0.625):('pos', 0.0):('compound', -0.802)
('neg', 0.0):('neu', 0.625):('pos', 0.375):('compound', 0.6369)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.403):('neu', 0.597):('pos', 0.0):('compound', -0.4019)
('neg', 0.159):('neu', 0.619):('pos', 0.222):('compound', 0.3911)
('neg', 0.171):('neu', 0.686):('pos', 0.143):('compound', -0.1263)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.145):('neu', 0.855):('pos', 0.0):('compound', -0.296)
('neg', 0.0):('neu', 0.775):('pos', 0.225):('compound', 0.4404)
('neg', 0.0):('neu', 0.529):('pos', 0.471):('compound', 0.8689)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.488):('pos', 0.512):('compound', 0.6369)
('neg', 0.0):('neu', 0.488):('pos', 0.512):('compound', 0.6369)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.6):('neu', 0.4):('pos', 0.0):('compound', -0.6696)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.208):('neu', 0.693):('pos', 0.099):('compound', -0.2944)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.578):('pos', 0.422):('compound', 0.8591)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.086):('neu', 0.866):('pos', 0.048):('compound', -0.3239)
('neg', 0.089):('neu', 0.819):('pos', 0.092):('compound', 0.0129)
('neg', 0.0):('neu', 0.914):('pos', 0.086):('compound', 0.4404)
('neg', 0.0):('neu', 0.73):('pos', 0.27):('compound', 0.5859)
('neg', 0.0):('neu', 0.68):('pos', 0.32):('compound', 0.9201)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.818):('pos', 0.182):('compound', 0.4404)
('neg', 0.22):('neu', 0.569):('pos', 0.211):('compound', -0.0258)
('neg', 0.278):('neu', 0.722):('pos', 0.0):('compound', -0.4019)
('neg', 0.357):('neu', 0.643):('pos', 0.0):('compound', -0.6124)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.631):('pos', 0.369):('compound', 0.8481)
('neg', 0.0):('neu', 0.818):('pos', 0.182):('compound', 0.4404)
('neg', 0.22):('neu', 0.569):('pos', 0.211):('compound', -0.0258)
('neg', 0.278):('neu', 0.722):('pos', 0.0):('compound', -0.4019)
('neg', 0.357):('neu', 0.643):('pos', 0.0):('compound', -0.6124)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.631):('pos', 0.369):('compound', 0.8481)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.082):('neu', 0.64):('pos', 0.277):('compound', 0.7506)
('neg', 0.688):('neu', 0.312):('pos', 0.0):('compound', -0.296)
('neg', 0.2):('neu', 0.8):('pos', 0.0):('compound', -0.4576)
('neg', 0.11):('neu', 0.676):('pos', 0.215):('compound', 0.702)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.257):('neu', 0.285):('pos', 0.458):('compound', 0.481)
('neg', 0.0):('neu', 0.546):('pos', 0.454):('compound', 0.8465)
('neg', 0.688):('neu', 0.312):('pos', 0.0):('compound', -0.296)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.879):('pos', 0.121):('compound', 0.4404)
('neg', 0.0):('neu', 0.877):('pos', 0.123):('compound', 0.2755)
('neg', 0.169):('neu', 0.625):('pos', 0.206):('compound', 0.1531)
('neg', 0.185):('neu', 0.65):('pos', 0.165):('compound', -0.1027)
('neg', 0.167):('neu', 0.833):('pos', 0.0):('compound', -0.1027)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.136):('neu', 0.864):('pos', 0.0):('compound', -0.296)
('neg', 0.298):('neu', 0.702):('pos', 0.0):('compound', -0.624)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.293):('neu', 0.707):('pos', 0.0):('compound', -0.7003)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.577):('pos', 0.423):('compound', 0.296)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.101):('neu', 0.692):('pos', 0.208):('compound', 0.4019)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.136):('neu', 0.864):('pos', 0.0):('compound', -0.296)
('neg', 0.298):('neu', 0.702):('pos', 0.0):('compound', -0.624)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.293):('neu', 0.707):('pos', 0.0):('compound', -0.7003)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.577):('pos', 0.423):('compound', 0.296)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.101):('neu', 0.692):('pos', 0.208):('compound', 0.4019)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.812):('pos', 0.188):('compound', 0.4588)
('neg', 0.0):('neu', 0.273):('pos', 0.727):('compound', 0.8402)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.104):('neu', 0.837):('pos', 0.059):('compound', -0.1154)
('neg', 0.0):('neu', 0.7):('pos', 0.3):('compound', 0.4576)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.732):('pos', 0.268):('compound', 0.296)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.428):('pos', 0.572):('compound', 0.8534)
('neg', 0.0):('neu', 0.526):('pos', 0.474):('compound', 0.743)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.5007)
('neg', 0.0):('neu', 0.4):('pos', 0.6):('compound', 0.6696)
('neg', 0.0):('neu', 0.484):('pos', 0.516):('compound', 0.4939)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.174):('neu', 0.643):('pos', 0.183):('compound', 0.0387)
('neg', 0.333):('neu', 0.667):('pos', 0.0):('compound', -0.4574)
('neg', 0.174):('neu', 0.643):('pos', 0.183):('compound', 0.0387)
('neg', 0.333):('neu', 0.667):('pos', 0.0):('compound', -0.4574)
('neg', 0.0):('neu', 0.544):('pos', 0.456):('compound', 0.9251)
('neg', 0.0):('neu', 0.804):('pos', 0.196):('compound', 0.296)
('neg', 0.184):('neu', 0.816):('pos', 0.0):('compound', -0.4019)
('neg', 0.186):('neu', 0.814):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.747):('pos', 0.253):('compound', 0.6249)
('neg', 0.235):('neu', 0.522):('pos', 0.243):('compound', 0.0258)
('neg', 0.107):('neu', 0.517):('pos', 0.376):('compound', 0.775)
('neg', 0.0):('neu', 0.843):('pos', 0.157):('compound', 0.0772)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.707):('pos', 0.293):('compound', 0.4404)
('neg', 0.0):('neu', 0.887):('pos', 0.113):('compound', 0.3182)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.6597)
('neg', 0.235):('neu', 0.522):('pos', 0.243):('compound', 0.0258)
('neg', 0.107):('neu', 0.517):('pos', 0.376):('compound', 0.775)
('neg', 0.0):('neu', 0.843):('pos', 0.157):('compound', 0.0772)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.707):('pos', 0.293):('compound', 0.4404)
('neg', 0.0):('neu', 0.887):('pos', 0.113):('compound', 0.3182)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.6597)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.144):('neu', 0.585):('pos', 0.271):('compound', 0.34)
('neg', 0.128):('neu', 0.872):('pos', 0.0):('compound', -0.6249)
('neg', 0.392):('neu', 0.608):('pos', 0.0):('compound', -0.7003)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.625):('pos', 0.375):('compound', 0.802)
('neg', 0.403):('neu', 0.597):('pos', 0.0):('compound', -0.6597)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.484):('pos', 0.516):('compound', 0.7494)
('neg', 0.577):('neu', 0.244):('pos', 0.179):('compound', -0.5994)
('neg', 0.0):('neu', 0.792):('pos', 0.208):('compound', 0.6369)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.148):('neu', 0.852):('pos', 0.0):('compound', -0.3818)
('neg', 0.0):('neu', 0.587):('pos', 0.413):('compound', 0.4973)
('neg', 0.0):('neu', 0.562):('pos', 0.438):('compound', 0.5994)
('neg', 0.0):('neu', 0.5):('pos', 0.5):('compound', 0.4588)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.737):('pos', 0.263):('compound', 0.431)
('neg', 0.355):('neu', 0.645):('pos', 0.0):('compound', -0.296)
('neg', 0.195):('neu', 0.805):('pos', 0.0):('compound', -0.5267)
('neg', 0.145):('neu', 0.699):('pos', 0.156):('compound', 0.0516)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.702):('pos', 0.298):('compound', 0.1779)
('neg', 0.122):('neu', 0.722):('pos', 0.156):('compound', 0.1935)
('neg', 0.145):('neu', 0.699):('pos', 0.156):('compound', 0.0516)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.702):('pos', 0.298):('compound', 0.1779)
('neg', 0.122):('neu', 0.722):('pos', 0.156):('compound', 0.1935)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.278):('neu', 0.722):('pos', 0.0):('compound', -0.4019)
('neg', 0.197):('neu', 0.692):('pos', 0.111):('compound', -0.3612)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.798):('pos', 0.202):('compound', 0.4201)
('neg', 0.154):('neu', 0.704):('pos', 0.142):('compound', 0.1384)
('neg', 0.113):('neu', 0.67):('pos', 0.217):('compound', 0.3566)
('neg', 0.257):('neu', 0.476):('pos', 0.267):('compound', 0.0258)
('neg', 0.0):('neu', 0.693):('pos', 0.307):('compound', 0.6103)
('neg', 0.154):('neu', 0.704):('pos', 0.142):('compound', 0.1384)
('neg', 0.113):('neu', 0.67):('pos', 0.217):('compound', 0.3566)
('neg', 0.257):('neu', 0.476):('pos', 0.267):('compound', 0.0258)
('neg', 0.0):('neu', 0.693):('pos', 0.307):('compound', 0.6103)
('neg', 0.425):('neu', 0.575):('pos', 0.0):('compound', -0.5719)
('neg', 0.0):('neu', 0.688):('pos', 0.312):('compound', 0.6124)
('neg', 0.217):('neu', 0.417):('pos', 0.366):('compound', 0.4199)
('neg', 0.0):('neu', 0.53):('pos', 0.47):('compound', 0.7351)
('neg', 0.415):('neu', 0.154):('pos', 0.431):('compound', 0.0258)
('neg', 0.0):('neu', 0.709):('pos', 0.291):('compound', 0.5719)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.419):('neu', 0.381):('pos', 0.2):('compound', -0.3182)
('neg', 0.0):('neu', 0.777):('pos', 0.223):('compound', 0.3182)
('neg', 0.419):('neu', 0.581):('pos', 0.0):('compound', -0.9251)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.103):('neu', 0.71):('pos', 0.187):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.674):('pos', 0.326):('compound', 0.8047)
('neg', 0.0):('neu', 0.805):('pos', 0.195):('compound', 0.4404)
('neg', 0.277):('neu', 0.723):('pos', 0.0):('compound', -0.3182)
('neg', 0.0):('neu', 0.419):('pos', 0.581):('compound', 0.9257)
('neg', 0.277):('neu', 0.723):('pos', 0.0):('compound', -0.3182)
('neg', 0.0):('neu', 0.419):('pos', 0.581):('compound', 0.9257)
('neg', 0.321):('neu', 0.438):('pos', 0.241):('compound', -0.0258)
('neg', 0.092):('neu', 0.756):('pos', 0.151):('compound', 0.235)
('neg', 0.212):('neu', 0.661):('pos', 0.127):('compound', -0.4198)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.73):('neu', 0.27):('pos', 0.0):('compound', -0.4019)
('neg', 0.15):('neu', 0.557):('pos', 0.293):('compound', 0.5526)
('neg', 0.804):('neu', 0.196):('pos', 0.0):('compound', -0.6249)
('neg', 0.0):('neu', 0.614):('pos', 0.386):('compound', 0.5267)
('neg', 0.0):('neu', 0.709):('pos', 0.291):('compound', 0.4767)
('neg', 0.0):('neu', 0.727):('pos', 0.273):('compound', 0.4588)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.534):('neu', 0.466):('pos', 0.0):('compound', -0.5319)
